Petition,State,Signatures Count
TAKE THE RESPONSIBILITY TO STOP BREXIT NOW AS THE REFERENDUM WAS NEVER BINDING,rejected,21
If Parliament Can’t agree on a Brexit Deal the UK Must Leave the EU on WTO Terms,rejected,21
Back  SNP MPs stand against tory Brexit,rejected,21
"Scotland, Wales & NI Leaders should be included in live TV Brexit debates",rejected,21
After The Expenses Scandal Failing on  Brexit will further damage trust in MPs,rejected,21
No deal brexit,rejected,21
A Third Referendum on Brexit should be a choice between PM's deal and No Deal!,rejected,21
URGENTLY PURSUE A NO DEAL BREXIT & DROP ATTEMPTS TO FIND AN ALTERNATIVE EU DEAL,rejected,21
ACTIVELY RESPOND TO THE PEOPLES MANDATED BREXIT BY THE REFERENDUM 2016.,rejected,21
Hold a referendum on the negotiated Brexit arrangements,rejected,21
"Hold a second referendum on Brexit, the withdrawal bill, or ""no deal"" Brexit.",rejected,21
Everyone who would still vote brexit sign this petition,rejected,21
Parliament will sit until it has had a meaningful vote on Brexit.,rejected,21
"Independence Day!
Rename March 29 as Brexit Day in our national calendar",rejected,21
Pause BREXIT and hold a #PeoplesVote if there is no agreed EU deal by 15 March.,rejected,21
Rule out the possibility of a No-deal Brexit,rejected,21
Make March 29 an annual Bank Holiday to celebrate Brexit.,rejected,21
"MPs to restand for election 
In the matter of Brexit",rejected,21
Make it illegal for anyone to use their status as NHS staff to oppose Brexit.,rejected,21
Force Philip Hammond to release funds necessary for planning a no-deal Brexit,rejected,21
Reduce rate of Fuel Duty to Stimulate UK Economic Growth Post Brexit,rejected,21
"If Brexit causes food shortages, shut parliamentary restaurants and bars",rejected,21
Show a vote of no confidence in our parliament for failing to deliver Brexit,rejected,21
Life imprisonment for MPs trying to reverse Brexit for personal gain,rejected,21
Any MP who fails to honour the Brexit result can never hold public office again,rejected,21
REMOVAL OF ALL MPs THAT HAVE BETRAYED THE PEOPLE   ON BREXIT,rejected,21
Extend or rescind Article 50 to prevent a No Deal Brexit,rejected,21
"No Deal Brexit!
Step up preparations for a No Deal Exit",rejected,21
Create legislation protecting absolute freedom of speech post-Brexit.,rejected,21
"Second Referendum on Brexit, including options on deal and remaining in EU.",rejected,21
"Scrap Brexit Deal Negotiations, Declare ""No Deal"" and adopt/commit WTO terms.",rejected,21
Stop Yvette Cooper’s Brexit Bill,rejected,21
"To mark the British decision, make Mar 29th a national holiday - Brexit Day",rejected,21
"MP's that hinder Brexit, in any way, should be forced to resign.",rejected,21
New Brexit Duty on all imports from Europe to UK to fund Brexit transition costs,closed,20
Say HARD BREXIT let Barnet and EU countries fret. Return under our terms.,rejected,20
Request that any Brexit bill be itemised and debated in parliament and public.,closed,20
Pro Brexit MPs to continually vote against the Gov to force another election.,rejected,20
Put the final Brexit deal to a referendum with revoking Article 50 as an option.,rejected,20
"Manufacture UK Passports in the UK after Brexit, not overseas.",rejected,20
Give British Citizens in the EU a vote on the final Brexit deal.,rejected,20
"Respect the: 'Will of The Good People of The United Kingdom'.
Stop Brexit NOW",rejected,20
Leave the European Union on a 'No Deal Brexit' basis,rejected,20
Please sign this petition of “No Confidence” in Theresa May regarding Brexit,rejected,20
Mechanism for second Brexit Referendum that will resolve the current stalemate,open,20
Form a cross-party commission (national consensus) which negotiates Brexit,closed,19
"Take the advice on Brexit proposed by the former P. M. of Australia, Tony Abbott",rejected,19
Hold a referendum to accept the Brexit deal or not to accept it (Hard Brexit).,rejected,19
"Bring people to justice who are betraying the people, on the vote for brexit",rejected,19
MPs to Stop Undermining Brexit Negotiations,rejected,18
Brexit Debate on 9 December 2018 to include Rees-Mogg & Farage,rejected,18
Put the negotiated Brexit deal to the electorate.,open,18
Referendum asking Britain if there should be a second Brexit referendum.,open,18
Launch Inquiry into Fitness for Purpose of the Parliamentary Brexit Committee,rejected,17
Sack Teresa May and her Brexit decision makers for failing our country,rejected,17
Preserve all rights of UK citizens as EU citizens in any Brexit agreement,rejected,17
Make two modest but sensible precautions in case Brexit goes badly.,closed,17
"Ban diesel cars, post-Brexit",closed,17
Conduct rolling referenda so that the Brexit deal commands support AT THE TIME,closed,17
Stop British Passports being made in France post Brexit,rejected,17
Ask the EU under Article 50(3) TFEU to extend the period before Brexit,closed,17
Vote for a second referendum regarding leaving Brexit.,rejected,17
Halt Brexit until National Crime Agency completed investigation Arron Banks,rejected,17
Charge the costs of no-deal Brexit preparations to Members of Parliament,rejected,17
Recognise that we pledge never to vote for any party that supports Brexit.,rejected,17
"Celebrate Brexit! On March 29 2019, light torches around our country",rejected,17
"A second referendum, allowing 16-17 year-olds to vote for Brexit",rejected,17
Release the complete and unedited Brexit assessment papers for everyone to read,rejected,16
Remove David Davis as DexEU Minister for misconduct over the Brexit Assessments.,rejected,16
on brexit MPs to vote the way the majority of voters did in the constituency,rejected,16
Enable UK nationals to retain the right to choose EU citizenship after Brexit.,rejected,16
Ensure the negotiated terms are honoured in case of a No Deal Brexit,rejected,16
Offer a people’s vote of confidence in the Brexit process as of this time.,rejected,16
Ensure the Brexit payment benefits the UK by at least £78 billion over WTO deal.,rejected,16
Government should consider a Brexit negotiating team from the business community,rejected,16
Brexit give the people a vote on if we take the EU Deal or Leave with No Deal,rejected,16
Walk away from Brexit talks.,rejected,15
Protect animals post-Brexit to at least the same levels and standards as now.,rejected,15
We Demand a Clean Brexit,rejected,15
Create one-off gift tax imposed on sponsors of Brexit in the case of shortfall.,rejected,15
Hold a referendum on the negotiated Brexit arrangements,rejected,15
Refurbish immigration and trade ports for WTO brexit,open,15
Parliament to vote no confidence in Teresa May regarding her Brexit negotiations,rejected,14
Remove David Davis from his position as 'Brexit' Secretary.,rejected,14
Call for the resignation of PM over poor management of Brexit  and major issues,rejected,14
Hold another referendum regarding Brexit. The public should decide.,rejected,14
We demand a referendum on a referendum on the final Brexit deal.,rejected,14
DENY THE A 2nd BREXIT REFERENDUM.,rejected,14
Theresa May must be replaced as Prime Minister. She can't handle Brexit.,rejected,13
"Give the UK voters a Brexit confirmation vote, based on final separation terms.",rejected,13
"All EU powers should return to Scotland, Wales and Northern Ireland after Brexit",closed,13
No confidence in the pm to deliver full brexit leadership needs a brexitier now,rejected,13
Put a total hold on Brexit until another referendum has been held,rejected,13
Call a second Brexit referendum in light of The Electoral Commisions Findings.,rejected,13
Register The Peoples VOTE of No Confidence in the BREXIT Negotiations,rejected,13
Provide FULL access to the Brexit Legal Advice as received by Government,rejected,13
Abandon plans to issue a commemorative 50p Brexit coin in March 2019,rejected,13
Hold a People's Vote on Prime Minister's Brexit Deal,rejected,13
The Electorate find Parliament in contempt for impeding Brexit,rejected,13
MPs must stop trying to block or prevent a no deal Brexit,rejected,13
We want a No Deal Brexit.,rejected,13
Negotiate with the EU the right to retain individual EU citizenship after Brexit,rejected,12
Ensure Parliament debates the interference of Russia within the Brexit Campaign,rejected,12
Protect animal welfare! Keep EU law on animal sentience in UK law Post Brexit,rejected,12
Hold a second referendum on brexit,rejected,12
Abolish all customs tariffs against developing countries after Brexit.,closed,12
"MPs and Lords, must not have any further time off until after Brexit.",rejected,12
Reveal a reason for Brexit,rejected,12
"The Florence speech has left the BREXIT leavers betrayed, this is OUR orders",rejected,11
MPs to have the final say on EU Brexit deal. Must include an option to Remain.,rejected,11
Post Brexit British passport should be printed in the UK,rejected,11
We the brexiteers demand Parliament debate the abolition of the House of Lords,rejected,11
We want what we voted for a clean no deal brexit.,rejected,11
Have a 2nd referendum on Brexit to rescue us from current political paralysis,rejected,11
Make Nigel Farage UK Brexit Ambassador  and Brexit Minister,rejected,11
Stop Dartmoor Ponies being murdered due to new Brexit rules,rejected,11
Stop Leadership Ballot until after Brexit,rejected,11
Restrict Parliamentary recess until Brexit has been finalised.,rejected,11
Honour the vote; give us a 'NO DEAL' WTO Rules BREXIT on 29th March 2019,rejected,11
Ask the Queen To Sort All This Mess Out With Brexit.,rejected,11
Publish Northern Ireland (no border) planning papers in a no-deal Brexit,open,11
"Demand a full EU Financial Audit before paying any ""divorce bill"" for Brexit.",rejected,10
A Petition for an Inclusive/Transparent BREXIT Process to the Unite the Country,rejected,10
To have a UK referendum on the colour of the UKGB passport post Brexit.,closed,10
Give Britain the Hard Brexit it voted for.,rejected,10
Stop the parliamentary recess until a decision is made on the Brexit deal,rejected,10
Give us a proper say on Brexit,rejected,10
A second Brexit referendum is needed.,rejected,10
Safeguard School Milk Funding Post-Brexit,open,10
Parliament should vote for a no deal Brexit.,rejected,10
Allow Donald Trump to assist in delivering Brexit for the British People,rejected,10
2nd Referendum on BREXIT / REVOKE ARTICLE 50,rejected,10
Allow Polish people freedom of movement after the Brexit.,open,10
Change government policy to stop saying no one voted for Brexit to be poorer.,rejected,10
Remove John Bercow as speaker of the house for his impartiality to brexit debate,rejected,10
exit brexit and remain in eu,rejected,10
Extend article 50 and call for a 'Citizen's Assembly' to resolve Brexit crisis,open,10
Ringfence the future funding of scientific research in the UK after Brexit.,rejected,9
Terminate the Brexit negotiations if the EU refuse to move on,rejected,9
Ensure Article 13 of the Lisbon Treaty is enshrined in UK law before Brexit.,rejected,9
Ensure equal Constitutional rights for all UK Citizens post-'Brexit'.,rejected,9
Stop the transposition of EU law into British law after Brexit,rejected,9
Get Michael Gove to maintain farming subsidies after Brexit.,closed,9
"Ensure British company, not French, prints the new British Passport post Brexit.",rejected,9
17.4 Million voters demand Government deliver a clean break Brexit from the EU,rejected,9
Give the British people the final say on any proposed final Brexit deal.,rejected,9
PM Teresa May should resign over brexit betrayal.,rejected,9
Cancel the first 3 weeks of the Parliamentary summer recess due to Brexit.,rejected,9
Make Parliament oversee the Brexit negotiations by suspending the planned recess,rejected,9
We the people no longer have confidence in the Government's handling of Brexit.,rejected,9
Respect the People’s Vote on Brexit.,rejected,9
Do not have another Referendum on Brexit,rejected,9
Stop a second referendum on Brexit and accept brexit means withdrawal from EU!,rejected,9
Brexit means Brexit: Stop remain MPs and the EU from sabotaging Brexit!,rejected,9
Brexit: Amend or reject the unlawful draft withdrawal agreement.,rejected,9
The will of the majority is being silenced by not holding a second Brexit vote,rejected,9
We demand a written constitution before Brexit,rejected,9
Investigate Brexit negotiations to determine if Remain has led the agenda,rejected,9
Petition to see all viewpoints and major parties represented in a Brexit Debate.,rejected,9
"A true 2nd referendum on Brexit. 
The Brexit you want
Mays, Labour or No deal.",rejected,9
Withdrawl from Brexit under Article 50,rejected,9
Inform the nation about plans and preparations for a ‘no deal’ Brexit.,rejected,9
All M.P.'s to work together to find a sensible solution to the Brexit impasse.,rejected,9
We call on Parliament to reject Theresa May's personal DRAFT 'BREXIT' AGREEMENT.,rejected,9
"MP,s should honour the Brexit vote to leave the EU .",rejected,9
"Make MPs vote on Brexit in line with their constituents views, not their own",rejected,9
Hold a new Brexit Referendum at the next General Election,rejected,9
"Theresa May resign immediately over brexit fiasco, she is mocking democracy",rejected,9
Petition for the release of BREXIT Impact Study documents to MPs,rejected,8
The government must release the studies into the economic impact of Brexit.,rejected,8
Protect animal rights post Brexit – evidence states  that animals DO feel pain.,rejected,8
Stop UK government being able to abolish animal rights/welfare after Brexit,rejected,8
Britain's voters shouls have a second referendum on Brexit.,rejected,8
Conduct ALL Brexit negotiations in the open.,rejected,8
"MPs must offer a 'Brexit deal', and offer a public referendum on 'Brexit Deal'",rejected,8
Blue British Passports to be made in UK by British owned company after Brexit.,rejected,8
A referendum on whether to proceed with Brexit under terms agreed with the EU,rejected,8
"Spend this Government's £60 Billion ""Brexit Resilience Fund"" on the NHS Instead.",rejected,8
‘Vote of No Confidence’ Theresa May’s premiership and Brexit negotiation,rejected,8
Theresa May to step down as PM Or give the people the Brexit they voted for,rejected,8
"Brexit means Brexit, No deal is better than the offer made by Theresa May",rejected,8
Brexit proposal that addresses the key reasons the British public voted Leave.,rejected,8
Parliament must not go on recess until the details of Brexit have been agreed,rejected,8
give people a vote on the final Brexit deal with an option to remain in the EU,rejected,8
Block a 2nd Brexit vote.,rejected,8
Make ' A PEOPLE'S VOTE ON BREXIT HAPPEN' regardless of negotiations outcome.,rejected,8
Ask the public whether or not it wants a re-run of the Brexit referendum.,rejected,8
Government to investigate the BBC over bias coverage against brexit,rejected,8
"The petition calls on MPs to vote against the draft ""Brexit"" agreement.",rejected,8
All Political parties must work together on Brexit for the best deal for the UK,rejected,8
Apply for another referendum. Due to the lies provided prior to the brexit vote,rejected,8
Gov must renegotiate the Brexit back stop replace with mutual termination clause,rejected,8
If the government don't carry out Brexit I will never vote again,rejected,8
Parliament to form a Government of National Unity to resolve Brexit.,rejected,8
Hold to account the MPs whose actions led us towards a no-deal Brexit,rejected,8
UK citizens ask the UK government to unilaterally rule out a 'no deal Brexit'.,rejected,8
Make March 29th a yearly bank-holiday. (Brexit Day),rejected,8
WITHDRAWAL BILL vote options to include NOBREXIT & GOVDEAL after advisory PplsVT,rejected,8
"If Brexit happens retain Freedom of Movement with EU, or hold a FoM referendum",rejected,8
Force heads of all political parties to sit down and discuss brexit negotiations,rejected,8
"Suspend MPs expenses and salaries on 30th March, until Brexit is resolved.",rejected,8
Stop the transition period after brexit,rejected,7
Make sure we get a Brexit Deal.,closed,7
No ifs or buts reverse Brexit now,rejected,7
ask lord Kerr to resign after his announcement to break a democratic Brexit Vote,rejected,7
Keep EU bill amendment to regard animals as sentient beings post-Brexit,rejected,7
Support EU legislation on protecting animal rights after Brexit.,rejected,7
Do not let the EU hold the UK taxpayer to ransom over the Brexit 'divorce bill.',rejected,7
British tax payer refuses to pay the Brexit divorce bill ransom of £40 billions.,rejected,7
Maintain EU law that sees non-human animals as sentient beings post Brexit.,rejected,7
Re-introduce the recognition of all animals as sentient into the Brexit Bill.,rejected,7
Pay the EU nothing (no divorce bill) and go ahead with a hard brexit!,rejected,7
Stop the government paying up to 50 billion as part of the Brexit trade talks.,rejected,7
GET BREXIT DONE NOW OR WALK AWAY!,rejected,7
Deselect Tory MPs who defied the government in the Brexit Withdrawal Bill vote.,rejected,7
The Human Right should still be given legal protection after brexit.,rejected,7
Offer UK Citizens a choice of passports - 'Brexit Blue' or 'EU Rights Red',rejected,7
No to a second Referendum on the Brexit terms,rejected,7
Westminster should devolve further powers to the Scottish Parliament over Brexit,rejected,7
Make the Government publish the Brexit leaked report document.,rejected,7
The right to retain/choose between British or European citizenship post brexit,rejected,7
Give Nigel Farage a job helping to secure a UK/US trade deal post Brexit.,rejected,7
Allow MPs a free vote on whether to accept or reject the final Brexit deal,rejected,7
Add 1p Income Tax & Reduce Aid to OECD average to create a BREXIT readiness fund,closed,7
Allow a second referendum on Brexit,rejected,7
Gove to replace Theresa May for betraying Brexit and the British people,rejected,7
Consult Her Royal Majesty on exercising the Royal Prerogative to expedite Brexit,rejected,7
Reject May's Brexit proposals and deliver a full Brexit.,rejected,7
Theresa may to step down due to creating a semi brexit.,rejected,7
Get a grip and do your Brexit homework,rejected,7
Cancel parliament’s summer recess until agreement on UK Brexit strategy is made,rejected,7
"Parliament and MP’s should not break for summer recess until Brexit is 
agreed.",rejected,7
"Referendum on the kind of Brexit Britain is to have - Hard, Soft, or no Brexit.",rejected,7
Allow the UK voting population have a vote on the final Brexit deal,rejected,7
Fine the Brexit Leave Campaign the equivalent of the economic costs of Brexit.,rejected,7
STOP PEOPLE TRYING TO STOP BREXIT,rejected,7
Legislate to prevent politicians in a EU pension plan voting on Brexit matters.,rejected,7
Brexit is masquerading as the Will of the People – Repeal the Withdrawal Act,rejected,7
Hold a referendum on the final Brexit deal.,rejected,7
"Theresa May to resign as PM,
Not delivering “Brexit as voted 2016”
Full exit..",rejected,7
Reverse the decision to make a commemorative Brexit coin.,rejected,7
"NO DEAL BREXIT, Better than a deal nobody wants!",rejected,7
Honour Steven Bray for the  work he has undertaken by protesting against Brexit,rejected,7
Reject the Brexit withdrawal document as unacceptable to the British public .,rejected,7
"Britons born as EU citizens, should keep that citizenship after brexit.",rejected,7
Sign to urge MPs to vote for the Withdrawal Agreement to end Brexit uncertainty,rejected,7
Ask the people if this is the Brexit they want!,rejected,7
Make itv or bbc to make a live brexit debate  for the main government parties,rejected,7
Grant a Brexit referendum to overcome the current impasse,rejected,7
Put the Brexit options to a public referendum.,rejected,7
MP's are in contempt for not Representing Constituency Brexit Referendum Votes,rejected,7
Require the Government to break the Brexit impasse in Parliament.,rejected,7
Demand a public vote of no confidence in Parliament to handle Brexit.,rejected,7
Scrap Home Office 'Settlement Fees' post Brexit,rejected,7
Ban all Brexiteers who lied to the UK from ever being an honours recipient,rejected,7
Do NOT allow the Finance Bill to be changed to prevent a No Deal Brexit.,rejected,7
Remove the current speaker of the house based on past behaviour and brexit bias.,rejected,7
Sack the 11 MPs who keep rejecting all petitions relating to Brexit.,rejected,7
Have 16 year olds able to vote for Brexit decision and deal in the Uk,rejected,7
No brexit means no government,rejected,7
Stop Brexit immediately and start fixing the actual issues of this country,rejected,7
Brexit. MP’s must stop putting their own interests before those of the country.,rejected,7
Brexit is causing chaos and holding the economy back. We demand Brexit is halted,rejected,7
BREXIT..the british public demand   no deal and leave on wto terms,rejected,7
Remove any chance of the UK leaving the EU with a no-deal Brexit,rejected,7
